Año,mes,Toneladas,precio_promedio,precio_lag1,fecha,fecha_merge,ipc_alimentos,indice,precio_real,mes_num,precio_lag2,precio_ma3,ma3,ma6,ma12,arriendo,costos_indirectos,empaques,enmiendas,fertilizantes,mano_obra,mipe,semilla,maquinaria,transporte,costo_total
2024,Febrero,25885.4500153,1336.898681640625,1479.1990966796875,2024-02-01,2024-02-01,1.89,174.58000489778337,765.7799542527104,2,1495.5137939453125,1437.203857421875,1437.203857421875,1468.2692311604817,1328.9640299479167,31.8991665,2600000.0,11.0734163125,0.11125449358971039,8.57446399428555,16.174433333333013,0.0,5.33482709312439,2.816931746028529,5.0,83.58449347286118
2024,Marzo,23173.55000461,1480.2642822265625,1336.898681640625,2024-03-01,2024-03-01,1.73,174.82971719296677,846.6891704645004,3,1479.1990966796875,1432.1206868489583,1432.1206868489583,1509.9515991210938,1333.923828125,31.8991665,2600000.0,11.3659416875,0.11202228448278051,8.408723638016781,16.862388888889317,0.0,6.583175477600098,2.816931746028529,5.0,85.64835022251751
2024,Abril,24696.4000214,1771.5041809082031,1480.2642822265625,2024-04-01,2024-04-01,2.98,175.25805825055642,1010.7975625152625,4,1336.898681640625,1529.5557149251301,1529.5557149251301,1532.4749399820964,1382.3755925496419,32.7083335,2600000.0,11.3659416875,0.11278687140806563,9.367467282604995,16.862388888889317,0.0,8.129189515686035,2.862934872856749,5.0,89.00904261894517
2024,Mayo,21905.750005,2360.2430419921875,1771.5041809082031,2024-05-01,2024-05-01,4.4,175.88806477387877,1341.900625847757,5,1480.2642822265625,1870.6705017089844,1870.6705017089844,1653.9371795654297,1462.4772516886394,32.7083335,2600000.0,11.326528625,0.11023302083335536,8.065416880663864,16.862388888889317,0.0,10.6117877368927,2.862934872856749,5.0,90.147623525136
2024,Junio,18817.24998801,2380.166015625,2360.2430419921875,2024-06-01,2024-06-01,5.27,176.64245384782566,1347.4484552142096,6,1771.5041809082031,2170.6377461751304,2170.6377461751304,1801.3792165120442,1568.5378901163738,32.7083335,2600000.0,11.326528625,0.11322141319442493,8.985941577753707,17.13542203548055,0.0,11.078185061645508,2.862934872856749,5.0,91.81056708593093
2024,Julio,24064.19997799,2650.7274780273438,2380.166015625,2024-07-01,2024-07-01,5.26,177.3986741315063,1494.2205690118908,7,2360.2430419921875,2463.7121785481772,2463.7121785481772,1996.6339467366536,1712.2968368530273,34.2344445,2600000.0,11.3914675625,0.11563681115596817,9.115345837606547,17.13542203548055,0.0,11.765309497833252,2.8911852035885093,5.0,94.24881144816482
2024,Agosto,22920.12999102,1942.1493530273438,2650.7274780273438,2024-08-01,2024-08-01,3.38,177.89076944109115,1091.7651090775062,8,2380.166015625,2324.347615559896,2324.347615559896,2097.50905863444,1782.889144897461,34.2344445,2600000.0,11.3914675625,0.11509518055560591,9.250828425316,17.13542203548055,0.0,8.510418251037597,2.8911852035885093,5.0,91.12886115847826
2024,Septiembre,23359.6999866,1520.66162109375,1942.1493530273438,2024-09-01,2024-09-01,2.73,178.2904937142609,852.9123395276779,9,2650.7274780273438,2037.8461507161458,2037.8461507161458,2104.241948445638,1807.096773783366,34.2344445,2600000.0,11.4379184375,0.11576477777781684,9.352827958213885,17.195209982175097,0.0,6.259278982543945,2.8911852035885093,5.0,89.08662984179927
2024,Octubre,26605.250041,1239.6697998046875,1520.66162109375,2024-10-01,2024-10-01,1.75,178.5484382349206,694.304476734556,10,1942.1493530273438,1567.4935913085938,1567.4935913085938,2015.6028849283855,1774.038912455241,34.227638625,2600000.0,11.4379184375,0.11561934722230034,9.4356265503835,17.195209982175097,0.0,5.15151003742218,2.930841227371592,5.0,88.09436420707466
2024,Noviembre,26773.95001272,1221.1394348144531,1239.6697998046875,2024-11-01,2024-11-01,2.34,178.89292846175,682.6091144656683,11,1520.66162109375,1327.1569519042969,1327.1569519042969,1825.7522837320964,1739.844731648763,34.227638625,2600000.0,11.372084875,0.11651644216953175,9.482452866410922,17.195209982175097,0.0,5.188444046974182,2.930841227371592,5.0,88.11318806510133
2024,Diciembre,25652.64999411,1195.6503601074219,1221.1394348144531,2024-12-01,2024-12-01,3.31,179.37904338098954,666.5496356605813,12,1239.6697998046875,1218.8198649088542,1218.8198649088542,1628.3330078125,1714.8561121622722,34.227638625,2600000.0,11.372084875,0.11675639727019362,9.64861193942975,17.47732614379104,0.0,5.261655032157898,2.930841227371592,5.0,88.63491424002046
2025,Enero,24008.7999942,1316.339697265625,1195.6503601074219,2025-01-01,2025-01-01,4.49,180.0367914013332,731.1503871068641,1,1221.1394348144531,1244.3764973958334,1244.3764973958334,1405.9350443522135,1701.2844955444336,34.99750025,2847000.0,11.448650125,0.11436425925927982,8.783297470527685,17.47732614379104,0.0,5.252393971252442,3.021197454495311,5.0,88.94172967432577
2025,Febrero,19728.5499924,1174.059829711914,1316.339697265625,2025-02-01,2025-02-01,4.56,180.70703587649896,649.7034407195438,2,1195.6503601074219,1228.683295694987,1228.683295694987,1277.920123799642,1687.714591217041,34.99750025,2847000.0,11.448650125,0.1166700297619268,8.993835275910845,17.47732614379104,0.0,4.992628171920776,3.021197454495311,5.0,88.8948074508799
